model,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
fold 1,0.5607019497469741 ± 0.115539419075252,0.711222426638642 ± 0.09873023677098831,0.7272892968148529 ± 0.11336909045369525,0.6998857527841496 ± 0.09479304008223473,0.711222426638642 ± 0.09873023677098831,0.016367186 ± 0.011300405,-1.6 ± 5.919459434779497,5.2 ± 3.249615361854384,-34.8 ± 106.27210358320758,92.0 ± 63.56728718452597,3.8 ± 6.49307323229917,4.6 ± 5.9531504264548865,-1.0 ± 0.8944271909999159,1.0 ± 0.8944271909999159
fold 2,0.537645697094593 ± 0.04439438805165628,0.6982562492133664 ± 0.03651382795492537,0.7878657570975088 ± 0.024273591594958645,0.6288761983947483 ± 0.053803909196378445,0.6982562492133665 ± 0.0365138279549254,0.015029296 ± 0.005936382,-7.4 ± 6.374950980203691,7.4 ± 6.374950980203691,-122.0 ± 71.29936886116174,122.0 ± 71.29936886116174,0.8 ± 3.3704599092705436,2.4 ± 2.4979991993593593,-1.6 ± 1.8547236990991407,1.6 ± 1.8547236990991407
fold 3,0.5299099665768746 ± 0.11278850063495563,0.6848635712440182 ± 0.1068828528567889,0.8322431302979826 ± 0.059678112476521265,0.5990016703419877 ± 0.14095241296658442,0.6848635712440181 ± 0.10688285285678888,0.023029294 ± 0.017421221,-15.8 ± 21.70161284328886,17.8 ± 20.093780132170256,-334.8 ± 271.76121871966944,334.8 ± 271.76121871966944,7.6 ± 2.727636339397171,7.6 ± 2.727636339397171,-4.6 ± 4.882622246293481,4.6 ± 4.882622246293481
fold 4,0.47467974621189307 ± 0.10792403862483,0.6362632660195398 ± 0.10282913903567806,0.6639673146033855 ± 0.09467152510967024,0.621023050457767 ± 0.1356766049458685,0.6362632660195398 ± 0.10282913903567809,0.024833983 ± 0.006591075,-1.2 ± 9.826494797230596,8.8 ± 4.534313619501853,-82.6 ± 133.87247663354853,119.8 ± 101.94390614450673,5.0 ± 9.121403400793104,9.4 ± 4.454211490264018,-1.0 ± 1.7888543819998317,1.8 ± 0.9797958971132712
fold 5,0.506854007312848 ± 0.05404565606887629,0.671086276389088 ± 0.0458828731584629,0.7660467779676242 ± 0.05988567915389199,0.6005540203803809 ± 0.05812955277854939,0.6710862763890879 ± 0.04588287315846299,0.01955664 ± 0.009233729,-1.8 ± 3.54400902933387,3.0 ± 2.6076809620810595,-91.8 ± 100.74006154455138,96.2 ± 96.54719053395598,3.4 ± 3.1999999999999997,3.8 ± 2.7129319932501073,-0.6 ± 0.7999999999999999,0.6 ± 0.7999999999999999
fold 6,0.40056223163583926 ± 0.10239975991332222,0.5639025158947677 ± 0.11098628483280057,0.6490375117859838 ± 0.11127732483694561,0.5477709777744335 ± 0.16421569550539417,0.5639025158947677 ± 0.11098628483280057,0.009705078 ± 0.0052611013,-3.0 ± 6.2289646009589745,5.4 ± 4.317406628984581,-7.0 ± 94.6931887730052,75.8 ± 57.185312799704086,-2.8 ± 4.354308211415448,3.6 ± 3.7202150475476548,0.0 ± 0.8944271909999159,0.8 ± 0.4000000000000001
fold 7,0.44923793983766147 ± 0.09598843549688997,0.6137561590453515 ± 0.0939606437909948,0.6847331403473079 ± 0.1991602074811553,0.6181580599906795 ± 0.1116187002381022,0.6137561590453514 ± 0.09396064379099478,0.019496093 ± 0.011312797,-6.0 ± 7.014271166700073,6.8 ± 6.241794613730893,-26.8 ± 256.6533849377405,211.6 ± 147.69779957738032,3.0 ± 9.736529155710468,6.2 ± 8.084553172563094,0.6 ± 0.8,0.6 ± 0.8
fold 8,0.5062311976528437 ± 0.057649172101128104,0.6702241997039728 ± 0.05119192064456059,0.8028744763210067 ± 0.07952115572658856,0.5772549930248161 ± 0.0448302206663824,0.6702241997039728 ± 0.05119192064456059,0.007898438 ± 0.0036589566,-4.6 ± 2.0591260281974,4.6 ± 2.0591260281974,-59.4 ± 24.187600128991715,59.4 ± 24.187600128991715,1.4 ± 4.758150901348127,4.2 ± 2.6381811916545836,-1.8 ± 1.7204650534085255,1.8 ± 1.7204650534085255
fold 9,0.4736168413628728 ± 0.029475564500839036,0.6422503855403936 ± 0.027235914980984422,0.7494764336528091 ± 0.056631852721248335,0.5665011678246512 ± 0.04804219397277499,0.6422503855403936 ± 0.027235914980984394,0.0069472655 ± 0.0026219392,-10.4 ± 5.851495535331118,10.4 ± 5.851495535331118,-81.6 ± 40.107854592336395,81.6 ± 40.107854592336395,-1.0 ± 3.03315017762062,2.6 ± 1.8547236990991407,-1.6 ± 0.4898979485566356,1.6 ± 0.4898979485566356
fold 10,0.4656062600485312 ± 0.09399630214129104,0.629963336902835 ± 0.08459522199765002,0.7090269809277678 ± 0.07533630297427449,0.5975814254750769 ± 0.15819885651674825,0.629963336902835 ± 0.08459522199764996,0.013236327 ± 0.0070979493,-14.2 ± 11.805083650698965,16.2 ± 8.863407922464134,-145.6 ± 122.43300208685565,154.8 ± 110.571967514375,2.2 ± 4.261455150532504,3.4 ± 3.3823069050575527,-2.8 ± 3.1874754901018454,2.8 ± 3.1874754901018454
