model,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
Unet++ timm-resnest101e jaccard
fold 5,  0.5083607292768354 ± 0.033637699387256206 , 0.6734141895389457 ± 0.028838550034428936 , 0.7362167290534659 ± 0.011833444308853708 , 0.6222941289260338 ± 0.04958316898110448 , 0.6734141895389456 ± 0.0288385500344289 , 0.019328125 ± 0.007042218 , -6.0 ± 6.260990336999411 , 6.4 ± 5.851495535331118 , -104.2 ± 98.54623280470949 , 110.2 ± 91.7875808592862 , 0.6 ± 2.0591260281974 , 1.8 ± 1.1661903789690604 , -0.6 ± 1.019803902718557 , 1.0 ± 0.6324555320336759
fold 6,  0.38628898161080716 ± 0.17061098476343983 , 0.5332450632490999 ± 0.1970530979272859 , 0.7262540443624163 ± 0.18186686441786193 , 0.5248362773886635 ± 0.24507566502253972 , 0.5332450632490999 ± 0.1970530979272859 , 0.01 ± 0.0063173524 , -4.2 ± 9.806120537705011 , 9.0 ± 5.727128425310541 , -22.2 ± 129.15014517994163 , 111.4 ± 69.0118830347354 , -4.0 ± 6.324555320336759 , 5.6 ± 4.963869458396342 , 0.0 ± 1.0954451150103321 , 0.8 ± 0.7483314773547883
fold 7,  0.4599088865012254 ± 0.10145085881187978 , 0.623355221298368 ± 0.09668655632475374 , 0.6485258499931839 ± 0.17944036474420688 , 0.6571598091689944 ± 0.10634271464915193 , 0.6233552212983678 ± 0.09668655632475374 , 0.019683594 ± 0.011142399 , -3.8 ± 8.35224520712844 , 7.0 ± 5.932958789676531 , -36.2 ± 214.98874389139542 , 188.2 ± 110.05162424971292 , -0.6 ± 11.11035552986492 , 9.4 ± 5.9531504264548865 , 0.4 ± 1.3564659966250538 , 0.8 ± 1.1661903789690604
fold 8,  0.5440290759667288 ± 0.02046375416418816 , 0.7044592422481368 ± 0.017230723130731117 , 0.8367828365965192 ± 0.054436771648811076 , 0.6104256624756978 ± 0.021568066165799888 , 0.7044592422481368 ± 0.017230723130731044 , 0.007111328 ± 0.002942598 , -6.2 ± 3.3105890714493698 , 6.2 ± 3.3105890714493698 , -63.2 ± 36.20718160807328 , 63.2 ± 36.20718160807328 , 1.4 ± 3.6110940170535577 , 3.4 ± 1.8547236990991407 , -1.6 ± 0.8 , 1.6 ± 0.8
fold 9,  0.512339693324088 ± 0.03546666155768825 , 0.6768233185308249 ± 0.03081111241175894 , 0.7144127589662373 ± 0.04907955775362434 , 0.6479697291948475 ± 0.05322226384012654 , 0.6768233185308249 ± 0.030811112411758948 , 0.0068125003 ± 0.0025173698 , -8.2 ± 3.4292856398964493 , 8.2 ± 3.4292856398964493 , -50.6 ± 39.797487357872235 , 50.6 ± 39.797487357872235 , -2.2 ± 5.706137047074843 , 4.6 ± 4.029888335921977 , -1.2 ± 1.1661903789690602 , 1.2 ± 1.1661903789690602
fold 10,  0.4401377047543001 ± 0.10782546958258492 , 0.6039222918008642 ± 0.09789022045140217 , 0.748354603147856 ± 0.0748093807026415 , 0.5353715654086427 ± 0.16647042460131622 , 0.6039222918008642 ± 0.09789022045140215 , 0.0134375 ± 0.007864948 , -12.0 ± 11.40175425099138 , 14.4 ± 8.16333265278342 , -151.2 ± 133.15614893800438 , 160.0 ± 122.44182292011173 , 4.0 ± 7.402702209328699 , 6.8 ± 4.955804677345546 , -2.6 ± 3.7202150475476548 , 2.6 ± 3.7202150475476548

FPN timm-resnest101e jaccard
fold 1,  0.5494081803270486 ± 0.11768504074787807 , 0.7014749237188287 ± 0.10159366666542193 , 0.7114846967997259 ± 0.11511848890103116 , 0.6972407204327018 ± 0.10656695219886234 , 0.7014749237188286 ± 0.10159366666542198 , 0.017134767 ± 0.012110866 , -6.0 ± 8.461678320522472 , 8.4 ± 6.086049621881176 , -75.2 ± 103.37001499467821 , 98.0 ± 82.07557492945145 , 2.0 ± 6.387487769068525 , 4.4 ± 5.043808085167397 , -1.2 ± 0.9797958971132712 , 1.2 ± 0.9797958971132712
fold 2,  0.5401596372459901 ± 0.06314001713418588 , 0.6993200256205123 ± 0.05157934043474392 , 0.7457897033615434 ± 0.0659008093094113 , 0.6626499314466079 ± 0.06247225190613558 , 0.6993200256205123 ± 0.051579340434743895 , 0.015734375 ± 0.006957568 , -3.4 ± 3.6660605559646724 , 4.2 ± 2.7129319932501073 , -49.6 ± 47.17032965752942 , 54.4 ± 41.543230495473026 , 3.6 ± 2.8705400188814645 , 3.6 ± 2.8705400188814645 , -2.0 ± 1.0954451150103321 , 2.0 ± 1.0954451150103321
fold 3,  0.6096694105460292 ± 0.11840471407815285 , 0.7501099868157062 ± 0.10069105513937804 , 0.7993873079799616 ± 0.07227866857017111 , 0.7252438259394698 ± 0.14763639958550087 , 0.7501099868157061 ± 0.10069105513937802 , 0.020664062 ± 0.01669586 , -16.8 ± 19.009471323527123 , 16.8 ± 19.009471323527123 , -280.2 ± 213.29547580762235 , 280.2 ± 213.29547580762235 , 4.0 ± 4.147288270665544 , 5.2 ± 2.4819347291981715 , -4.0 ± 4.560701700396552 , 4.0 ± 4.560701700396552
fold 4,  0.4643023646136209 ± 0.10755427484718987 , 0.6265046609155376 ± 0.10439919191892104 , 0.6811755590804751 ± 0.09577172271265252 , 0.5882663177590601 ± 0.12886294604606363 , 0.6265046609155376 ± 0.10439919191892105 , 0.024447264 ± 0.005819941 , -2.0 ± 10.13903348450926 , 8.0 ± 6.54217089351845 , -109.4 ± 151.22909772923992 , 148.6 ± 112.94529649347953 , 4.2 ± 8.840814442120138 , 9.0 ± 3.847076812334269 , -0.8 ± 1.469693845669907 , 1.2 ± 1.1661903789690602
fold 5,  0.5132324677897431 ± 0.06053818449990426 , 0.676185491793987 ± 0.053548131101349865 , 0.7768630020755458 ± 0.04547152943369537 , 0.6057505146675145 ± 0.08013225658692832 , 0.676185491793987 ± 0.05354813110134987 , 0.018763673 ± 0.008007114 , -10.0 ± 7.127411872482185 , 10.0 ± 7.127411872482185 , -152.4 ± 113.20883357759676 , 152.4 ± 113.20883357759676 , -2.8 ± 3.9698866482558417 , 3.6 ± 3.2619012860600183 , -0.6 ± 0.48989794855663565 , 0.6 ± 0.48989794855663565
fold 6,  0.35088029762884465 ± 0.1406683780483784 , 0.5020382026564935 ± 0.16798713434927115 , 0.7087665877832755 ± 0.17650304221560595 , 0.4440649694482479 ± 0.17806812403767325 , 0.5020382026564935 ± 0.16798713434927112 , 0.009728516 ± 0.005504533 , -6.2 ± 7.30479294709987 , 7.4 ± 6.086049621881176 , -59.0 ± 59.632206063502295 , 74.2 ± 39.13259510944808 , -5.2 ± 6.523802572120037 , 6.0 ± 5.796550698475776 , -0.2 ± 0.7483314773547883 , 0.6 ± 0.48989794855663565
fold 7,  0.4792288368208103 ± 0.10318000869193727 , 0.6407346795326386 ± 0.10349223852255754 , 0.6045889288682569 ± 0.1660703052636932 , 0.7501726952620797 ± 0.10251946823629472 , 0.6407346795326386 ± 0.10349223852255753 , 0.022072267 ± 0.013790885 , -4.2 ± 6.04648658313239 , 6.2 ± 3.9698866482558417 , -8.2 ± 244.69360432998653 , 185.4 ± 159.90322073054062 , -1.6 ± 8.089499366462675 , 6.8 ± 4.664761515876241 , 0.2 ± 0.7483314773547883 , 0.6 ± 0.48989794855663565
fold 8,  0.5099621780149405 ± 0.05096843635872166 , 0.6740055518223308 ± 0.043205692840758335 , 0.7772333445355685 ± 0.07988552164544512 , 0.6016853782454274 ± 0.05879726568409907 , 0.6740055518223308 ± 0.043205692840758356 , 0.007949218 ± 0.003237831 , -5.6 ± 1.0198039027185568 , 5.6 ± 1.0198039027185568 , -50.8 ± 20.87486526902629 , 50.8 ± 20.87486526902629 , -1.0 ± 4.049691346263317 , 3.8 ± 1.7204650534085255 , -1.0 ± 0.8944271909999159 , 1.0 ± 0.8944271909999159
fold 9,  0.5186946804695569 ± 0.029903118019556217 , 0.6825725023506958 ± 0.025755836350098173 , 0.7477166279345301 ± 0.020655123178107544 , 0.6281570710145468 ± 0.030886897305839017 , 0.6825725023506958 ± 0.02575583635009818 , 0.0065273433 ± 0.0026078615 , -7.4 ± 2.870540018881465 , 7.4 ± 2.870540018881465 , -76.4 ± 36.65296713773661 , 76.4 ± 36.65296713773661 , -2.6 ± 4.498888751680797 , 4.2 ± 3.0594117081556713 , -1.0 ± 0.6324555320336759 , 1.0 ± 0.6324555320336759
