image,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
156,0.592944369063772, 0.7444633730834753, 0.7761989342806395, 0.7152209492635024, 0.7444633730834753, 0.0029296875, -3, 3, -5, 5, 2, 2, 0, 0
160,0.4838095238095238, 0.6521181001283697, 0.5746606334841629, 0.7537091988130564, 0.6521181001283697, 0.0026464844, 0, 0, 36, 36, 2, 2, 0, 0
154,0.6608357628765792, 0.7957870099473376, 0.8047337278106509, 0.7870370370370371, 0.7957870099473376, 0.0034082031, -5, 5, -38, 38, -1, 1, -1, 1
161,0.5970695970695971, 0.7477064220183486, 0.7715976331360946, 0.7252502780867631, 0.7477064220183486, 0.004296875, 4, 4, 32, 32, 2, 2, 0, 0
162,0.6540284360189573, 0.7908309455587392, 0.8389057750759878, 0.7479674796747967, 0.7908309455587391, 0.0014257813, 0, 0, 7, 7, 1, 1, 0, 0
152,0.6695652173913044, 0.8020833333333334, 0.7475728155339806, 0.8651685393258427, 0.8020833333333334, 0.0022265625, -1, 1, 4, 4, 0, 0, 0, 0
151,0.6733931240657698, 0.8048235819562305, 0.7780656303972366, 0.8334875115633672, 0.8048235819562304, 0.004267578, 2, 2, 22, 22, 0, 0, 0, 0
164,0.13333333333333333, 0.23529411764705882, 0.14432989690721648, 0.6363636363636364, 0.2352941176470588, 0.0008886719, 1, 1, 27, 27, 1, 1, 0, 0
165,0.5977443609022557, 0.7482352941176471, 0.888268156424581, 0.6463414634146342, 0.7482352941176471, 0.0010449219, -1, 1, -13, 13, -1, 1, 0, 0
159,0.5484375, 0.7083753784056509, 0.612565445026178, 0.8397129186602871, 0.7083753784056509, 0.0028222657, 1, 1, 15, 15, 3, 3, 0, 0
158,0.3756345177664975, 0.5461254612546126, 0.4539877300613497, 0.6851851851851852, 0.5461254612546126, 0.0012011719, 2, 2, 0, 0, 2, 2, 0, 0
